person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Matei Ionescu,mateiionescu,mateiionescu@kappa.ro,7680323171258,1968-01-13,"Intrarea Georgescu Nr. 757, Gugesti, 305095",0786 491 935,ba:27:0e:7e:25:7c,125.73.244.26,RO87OGCD7374368355173747,2025-07-02 13:11:30,24039,115,50,1406715,54041a1a-1e37-41b2-88f5-82cb3ad418fe
Andrei Tudor,andreitudor,andreitudor@kappa.ro,5751125336457,1944-10-01,"Bulevardul Preda Nr. 650, Savinesti, 376794",0721 769 379,02:4d:91:94:34:51,11.86.61.187,RO95FJBA8492824153675481,2025-07-02 13:11:30,21545,562,347,1366538,15807fa5-8932-4ab5-9474-7df9c3ff270c
Aurel Mazilescu,aurelmazilescu,aurelmazilescu@acasa.ro,4740721308985,1954-06-02,"Strada Tomescu Nr. 824, Carei, 233347",0762 290 245,6a:a5:60:ad:4f:7f,155.151.133.199,RO67IEBU4388373920094786,2025-07-02 13:11:30,1965,736,358,1571892,30ec28ca-155b-4ed2-b098-6cfae326bcab
Julieta Ababei,julietaababei,julietaababei@email.ro,3880916380041,1995-02-01,"Bulevardul Nistor, Pascani, 135486",0750 588 945,2e:15:e6:94:b6:3d,137.69.152.14,RO91LGIF6997439653832158,2025-07-02 13:11:30,3462,405,478,848383,7fd6aaa0-5820-43a9-9777-7f68f150dd90
Iuliana Albu,iulianaalbu,iulianaalbu@gmail.com,1210529195882,2015-08-02,"Intrarea Ionescu, Sebis, 216713",0725 513 634,8a:f2:4b:2e:22:ae,52.198.32.63,RO85VQWS3086937029288470,2025-07-02 13:11:30,16454,288,709,727300,97999555-bdc4-4951-b732-1be8a611394f
Dalia Manole,daliamanole,daliamanole@gmail.com,4541210437308,1994-07-23,"Soseaua Gheorghiu Nr. 67, Covasna, 170326",0747 347 570,0e:6d:37:d8:78:2f,32.66.156.227,RO88JCTW7914543606932948,2025-07-02 13:11:30,18702,937,636,1142198,7602bfbf-0b80-4268-9c68-742451f11400
Pamela Ardelean,pamelaardelean,pamelaardelean@post.ro,3301131189905,1940-12-24,"Aleea Sorana Oprea Nr. 32 Bl. 92  Sc. 13 Ap. 897, Babeni, 764428",0261 444 227,48:ae:d5:db:40:c5,165.30.45.8,RO64UAVR4751603902842202,2025-07-02 13:11:30,24046,173,108,1181508,1dde3c9f-e6a0-4340-b313-2156643250c5
Romulus Diaconu,romulusdiaconu,romulusdiaconu@acasa.ro,4740911307643,1990-07-13,"Intrarea Ilie Stoica, Pipera (Voluntari), 933765",0251 688 992,6c:a0:6a:8b:2f:db,156.122.230.210,RO63LWZY2601254025126875,2025-07-02 13:11:30,18710,818,455,1450193,703aebd0-f60f-4723-ad99-4d02f87074a7
Gabi Popescu,gabipopescu,gabipopescu@acasa.ro,4891221107992,1990-07-02,"Aleea Albu, Sighetu Marmatiei, 404087",0254 643 481,ee:4e:a8:b0:c5:0a,49.122.129.57,RO25XXVI7792741778305455,2025-07-02 13:11:30,20624,555,367,1983964,136aa030-d0b4-45b3-8abe-fd11efe5e64b
Constantina Florea,constantinaflorea,constantinaflorea@email.ro,4340525130316,1979-11-19,"Intrarea Pop Nr. 63, Giarmata, 515426",0728 246 713,f2:4a:70:11:3b:d8,41.158.191.91,RO57BNLG5624749350070770,2025-07-02 13:11:30,3191,765,283,1049898,135f30fd-a693-4eff-9823-f9827d57f40e
